folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060130330,29, ,4,5,5,2,42426.63
20060130330,13,6,4,6,5,2,42426.63
20060130330,9,6,4, ,5,2,42426.63
20060130330,7,6,4, ,5,2,42426.63
20060130340,32, ,1,5,5,3,17725.23
20060130340,33, ,1,5,5,3,17725.23
20060130340,9,4,1, ,5,3,17725.23
20060130340,11,6,1, ,5,3,17725.23
20060130340,3, ,1, ,5,3,17725.23
20060130360,37, ,11,6,2,0,63209.13
20060130360,12,6,11,6,2,0,63209.13
20060130370,65, ,4,5,4,0,22552.48
20060130370,57, ,4,5,4,0,22552.48
20060130370,24, ,4,6,4,0,22552.48
20060130370,19, ,4,6,4,0,22552.48
20060130380,66, ,10,5,2,0,36320.51
20060130380,57, ,10,5,2,0,36320.51
20060130400,85, ,4,4,7,2,39412.77
20060130400,45, ,4,5,7,2,39412.77
20060130400,50, ,4,6,7,2,39412.77
20060130400,40, ,4,5,7,2,39412.77
20060130400,20,6,4,6,7,2,39412.77
20060130400,4, ,4, ,7,2,39412.77
20060130400,3, ,4, ,7,2,39412.77
20060130410,27, ,3,5,4,2,19583.29
20060130410,25, ,3,5,4,2,19583.29
20060130410,6,6,3, ,4,2,19583.29
20060130410,2, ,3, ,4,2,19583.29
20060130420,42, ,10,5,5,3,26167.91
20060130420,40, ,10,5,5,3,26167.91
20060130420,11,6,10, ,5,3,26167.91
20060130420,5,6,10, ,5,3,26167.91
20060130420,3, ,10, ,5,3,26167.91
20060130430,36, ,3,5,4,2,28723.72
20060130430,35, ,3,5,4,2,28723.72
20060130430,5,6,3, ,4,2,28723.72
20060130430,3, ,3, ,4,2,28723.72
20060130440,39, ,3,5,6,4,15399.28
20060130440,29, ,3,5,6,4,15399.28
20060130440,9,1,3, ,6,4,15399.28
20060130440,8,2,3, ,6,4,15399.28
20060130440,4, ,3, ,6,4,15399.28
20060130440,0, ,3, ,6,4,15399.28
20060130460,53, ,4,5,5,1,30608.97
20060130460,24, ,4,6,5,1,30608.97
20060130460,22,6,4,5,5,1,30608.97
20060130460,22, ,4,5,5,1,30608.97
20060130460,0, ,4, ,5,1,30608.97
20060130470,62, ,4,5,4,0,115667.8
20060130470,56, ,4,5,4,0,115667.8
20060130470,19, ,4,6,4,0,115667.8
20060130470,17, ,4,6,4,0,115667.8
20060130480,50, ,3,5,6,1,91865.89
20060130480,50, ,3,5,6,1,91865.89
20060130480,22, ,3,6,6,1,91865.89
20060130480,21, ,3,5,6,1,91865.89
20060130480,20, ,3,5,6,1,91865.89
20060130480,1, ,3, ,6,1,91865.89
20060130490,31, ,5,5,4,3,71831.34
20060130490,11,6,5, ,4,3,71831.34
20060130490,9,6,5, ,4,3,71831.34
20060130490,2, ,5, ,4,3,71831.34
20060140010,39, ,5,5,6,2,57168.65
20060140010,35, ,5,5,6,2,57168.65
20060140010,36, ,5,6,6,2,57168.65
20060140010,16,6,5,6,6,2,57168.65
20060140010,11,6,5, ,6,2,57168.65
20060140010,7,6,5, ,6,2,57168.65
20060140020,43, ,3,5,5,1,36216.34
20060140020,40, ,3,5,5,1,36216.34
20060140020,20,6,3,6,5,1,36216.34
20060140020,15,1,3,6,5,1,36216.34
20060140020,6,6,3, ,5,1,36216.34
20060140030,34, ,3,5,5,3,33009.55
20060140030,32, ,3,5,5,3,33009.55
20060140030,10,6,3, ,5,3,33009.55
20060140030,9,6,3, ,5,3,33009.55
20060140030,6,6,3, ,5,3,33009.55
20060140040,52, ,3,5,4,0,39990.38
20060140040,46, ,3,5,4,0,39990.38
20060140040,24, ,3,6,4,0,39990.38
20060140040,19, ,3,2,4,0,39990.38
20060140050,39, ,5,5,7,2,33536.83
20060140050,38, ,5,5,7,2,33536.83
20060140050,78, ,5,5,7,2,33536.83
20060140050,74, ,5,5,7,2,33536.83
20060140050,18,6,5,6,7,2,33536.83
20060140050,9,6,5, ,7,2,33536.83
20060140050,2, ,5, ,7,2,33536.83
20060140060,80, ,4,4,1,0,10392.61
20060140070,29, ,8,1,4,1,43330.52
20060140070,37, ,8,1,4,1,43330.52
20060140070,13,6,8,6,4,1,43330.52
20060140070,8,6,8, ,4,1,43330.52
20060140080,42, ,7,5,5,1,23211.91
