folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060150390,14,6,6,6,3,0,39396.96
20060150400,23,6,5,3,4,1,45167.71
20060150410,15,6,3,6,5,1,23424.68
20060150410,10,6,3, ,5,1,23424.68
20060150420,6,6,3, ,5,1,16522.85
20060150431,6,6,5, ,5,3,15802.94
20060150440,14,6,4,6,11,6,42896.42
20060150440,11,6,4, ,11,6,42896.42
20060150440,7,6,4, ,11,6,42896.42
20060160020,22,6,10,6,5,1,123084.0
20060160020,5,6,10, ,5,1,123084.0
20060160040,12,6,5,6,7,0,68069.41
20060160050,38,6,3,6,3,0,41701.21
20060160060,36,6,6,5,4,1,8552.75
20060160060,12,6,6,6,4,1,8552.75
20060160060,10,6,6, ,4,1,8552.75
20060160080,15,6,9,6,5,1,26672.43
20060160080,13,6,9,6,5,1,26672.43
20060160090,21,6,6,6,9,1,67689.83
20060160090,16,6,6,6,9,1,67689.83
20060160090,12,6,6,6,9,1,67689.83
20060160120,18,6,5,5,3,1,12734.59
20060160130,10,6,5, ,4,2,31468.57
20060160130,8,6,5, ,4,2,31468.57
20060160160,13,6,5,6,4,1,18902.34
20060160160,10,6,5, ,4,1,18902.34
20060160170,12,6,7,6,3,0,30754.0
20060160180,12,6,5,6,5,2,21846.32
20060160180,10,6,5, ,5,2,21846.32
20060160200,6,6,10, ,5,3,45022.17
20060160210,18,6,11,6,6,2,115373.1
20060160210,12,6,11,6,6,2,115373.1
20060160210,7,6,11, ,6,2,115373.1
20060160220,10,6,8, ,8,6,88940.44
20060160220,8,6,8, ,8,6,88940.44
20060160220,5,6,8, ,8,6,88940.44
20060160240,13,6,5,6,7,1,38862.46
20060160260,10,6,3, ,9,4,103223.14
20060160260,10,6,3, ,9,4,103223.14
20060160260,9,6,3, ,9,4,103223.14
20060160270,9,6,6, ,6,4,27013.35
20060160270,5,6,6, ,6,4,27013.35
20060160280,6,6,5, ,4,2,17758.23
20060160290,43,6,4,5,7,3,22664.04
